id,url,did_i_read_it,priority
20a615de-b084-4cc5-8bfd-2be19415d14a,https://www.notion.so/Creating-a-React-Rails-and-Vite-App-by-Chow-Jia-Ying-Medium-20a615deb0844cc58bfd2be19415d14a,true,50
8a227934-7b40-480d-83ec-aedf88f4c93f,https://www.notion.so/Naming-conventions-in-programming-a-review-of-scientific-literature-Makimo-Consultancy-Softw-8a2279347b40480d83ecaedf88f4c93f,false,100
026373f1-8a02-4121-a65a-035bb22ad5c8,https://www.notion.so/Automatic-preloading-in-Rails-the-dream-that-came-true-by-Evgeniy-Demin-Mar-2023-Medium-026373f18a024121a65a035bb22ad5c8,false,100
634ec2d2-cd6e-4bcc-8c36-7ffafd551137,https://www.notion.so/Common-Beginner-Mistakes-with-React-634ec2d2cd6e4bcc8c367ffafd551137,true,50
8428a07e-5400-4962-a76f-2ce19c8fc0e0,https://www.notion.so/How-to-Find-Debug-and-Fix-N-1-Queries-in-Rails-8428a07e54004962a76f2ce19c8fc0e0,false,100
48866b3c-61a0-407e-8d79-8aca7ceed844,https://www.notion.so/Asynchronous-Programming-in-JavaScript-for-Beginners-48866b3c61a0407e8d798aca7ceed844,false,100
cf66f2d5-8554-490b-a308-93dc036168ee,https://www.notion.so/How-to-Build-Great-HTML-Form-Controls-cf66f2d58554490ba30893dc036168ee,true,50
8e1797fb-d127-45db-8cd4-9f7f8804ccf7,https://www.notion.so/The-Guide-To-Responsive-Design-In-2023-and-Beyond-Ahmad-Shadeed-8e1797fbd12745db8cd49f7f8804ccf7,false,100
0eac18f7-4ff7-4190-8482-047881814f97,https://www.notion.so/Visual-design-rules-you-can-safely-follow-every-time-0eac18f74ff741908482047881814f97,true,50
f53fa554-6d7c-4365-b48f-114deea5e39f,https://www.notion.so/Introduction-to-Interactive-Rebase-in-Git-f53fa5546d7c4365b48f114deea5e39f,false,100
61d6de85-5439-456d-bf06-e8c33f4bdd21,https://www.notion.so/The-Key-To-Good-Component-Design-Is-Selfishness-Smashing-Magazine-61d6de855439456dbf06e8c33f4bdd21,true,50
2ccf97c7-503c-4594-9a5f-ae4a9484be17,https://www.notion.so/VS-Code-Shortcuts-To-Code-Like-You-re-Playing-a-Piano-by-Aziz-Nal-Dec-2022-Better-Programming-2ccf97c7503c45949a5fae4a9484be17,true,50
3110112f-bd09-462f-9162-c1fd2c95a9ef,https://www.notion.so/Writing-better-Action-Mailers-Revisiting-a-core-Rails-concept-Boring-Rails-Skip-the-bullshit-and-3110112fbd09462f9162c1fd2c95a9ef,true,50
098aacb5-61b9-46f2-9f76-d79425a3444a,https://www.notion.so/Vanilla-Rails-authentication-with-Authentication-Zero-098aacb561b946f29f76d79425a3444a,false,100
00e9ba23-cd9e-40ac-8ecb-49304aa61f15,https://www.notion.so/Logging-practices-I-follow-00e9ba23cd9e40ac8ecb49304aa61f15,true,50
47c86b02-f979-41ce-b8ce-81fbe5a09181,https://www.notion.so/Easy-to-Overlook-Way-to-Break-Eager-Loading-in-Rails-Apps-47c86b02f97941ceb8ce81fbe5a09181,false,100
62b49564-a157-42c7-b883-36365d87dbff,https://www.notion.so/Create-a-Business-Language-for-a-Rails-Application-AppSignal-Blog-62b49564a15742c7b88336365d87dbff,false,100
a6efdf95-a9ce-4a21-b3b9-d6951c13c5de,https://www.notion.so/CSS-In-Real-Life-CSS-Halftone-Patterns-a6efdf95a9ce4a21b3b9d6951c13c5de,false,100
